No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
108,Gen Z Pop,"gen-z, vibrant, bright, youth, energetic",#FF00FF,#00FFFF,#FFFF00,#000000,#FFFFFF,#333333,Magenta + Cyan + Yellow primaries + High energy,"{ primary: '#FF00FF', secondary: '#00FFFF', cta: '#FFFF00', background: '#000000', foreground: '#FFFFFF' }","box-shadow: 0 0 20px rgba(255,255,0,0.4); text-shadow: 0 0 10px rgba(255,255,0,0.6);","{ background: '#000000', text: '#FFFFFF', primary: '#FF00FF', secondary: '#00FFFF', cta: '#FFFF00', border: '#333333' }","{""background"":""#000000"",""foreground"":""#FFFFFF"",""primary"":""#FF00FF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#00FFFF"",""secondary-foreground"":""#000000"",""muted"":""#ffffff"",""accent"":""#FFFF00"",""destructive"":""#EF4444""}","[""#ff66ff"",""#ff33ff"",""#FF00FF"",""#cc00cc"",""#990099"",""#00ffff"",""#00cccc""]","{""background"":""#000000"",""foreground"":""#FFFFFF"",""card"":""#0C0C0C"",""card-foreground"":""#FFFFFF"",""popover"":""#0C0C0C"",""popover-foreground"":""#FFFFFF"",""primary"":""#FF00FF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#00FFFF"",""secondary-foreground"":""#000000"",""muted"":""#191919"",""muted-foreground"":""#A1A1AA"",""accent"":""#FFFF00"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#333333"",""input"":""#262626"",""ring"":""#FF00FF""}"
109,Calm Tech Wellness,"calm, wellness, meditation, mindful, serene",#A7C4BC,#D4E4DE,#8BA888,#F8FAF9,#2C3E36,#E0EBE7,Sage Green + Soft Teal + Muted Earth + Peaceful,"{ primary: '#A7C4BC', secondary: '#D4E4DE', cta: '#8BA888', background: '#F8FAF9', foreground: '#2C3E36' }","box-shadow: 0 0 20px rgba(139,168,136,0.4); text-shadow: 0 0 10px rgba(139,168,136,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#A7C4BC', secondary: '#D4E4DE', cta: '#8BA888', border: '#27272A' }","{""background"":""#F8FAF9"",""foreground"":""#2C3E36"",""primary"":""#A7C4BC"",""primary-foreground"":""#000000"",""secondary"":""#D4E4DE"",""secondary-foreground"":""#000000"",""muted"":""#6c9784"",""accent"":""#8BA888"",""destructive"":""#EF4444""}","[""#e4edea"",""#c6d8d3"",""#A7C4BC"",""#88b0a5"",""#6a9b8d"",""#d4e4de"",""#b5d0c6""]","{""background"":""#F8FAF9"",""foreground"":""#2C3E36"",""card"":""#FFFFFF"",""card-foreground"":""#2C3E36"",""popover"":""#FFFFFF"",""popover-foreground"":""#2C3E36"",""primary"":""#A7C4BC"",""primary-foreground"":""#000000"",""secondary"":""#D4E4DE"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8BA888"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E0EBE7"",""input"":""#E0EBE7"",""ring"":""#A7C4BC""}"
110,Web3 Cyberpunk,"web3, crypto, cyberpunk, neon, blockchain",#00FFFF,#FF00FF,#FFFF00,#0D0D0D,#E0E0E0,#1A1A2E,Neon Cyan + Magenta + Electric accents + Dark base,"{ primary: '#00FFFF', secondary: '#FF00FF', cta: '#FFFF00', background: '#0D0D0D', foreground: '#E0E0E0' }","box-shadow: 0 0 20px rgba(255,255,0,0.4); text-shadow: 0 0 10px rgba(255,255,0,0.6);","{ background: '#0D0D0D', text: '#E0E0E0', primary: '#00FFFF', secondary: '#FF00FF', cta: '#FFFF00', border: '#1A1A2E' }","{""background"":""#0D0D0D"",""foreground"":""#E0E0E0"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#FF00FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#FFFF00"",""destructive"":""#EF4444""}","[""#66ffff"",""#33ffff"",""#00FFFF"",""#00cccc"",""#009999"",""#ff00ff"",""#cc00cc""]","{""background"":""#0D0D0D"",""foreground"":""#E0E0E0"",""card"":""#191919"",""card-foreground"":""#E0E0E0"",""popover"":""#191919"",""popover-foreground"":""#E0E0E0"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#FF00FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#252525"",""muted-foreground"":""#A1A1AA"",""accent"":""#FFFF00"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1A1A2E"",""input"":""#313131"",""ring"":""#00FFFF""}"
111,Sustainability Earth,"sustainable, organic, earth, natural, eco",#6B8E23,#DEB887,#8FBC8F,#FFFAF0,#2F4F2F,#D2C4A8,Olive Green + Burlap + Earth Brown + Natural textures,"{ primary: '#6B8E23', secondary: '#DEB887', cta: '#8FBC8F', background: '#FFFAF0', foreground: '#2F4F2F' }","box-shadow: 0 0 20px rgba(143,188,143,0.4); text-shadow: 0 0 10px rgba(143,188,143,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#6B8E23', secondary: '#DEB887', cta: '#8FBC8F', border: '#27272A' }","{""background"":""#FFFAF0"",""foreground"":""#2F4F2F"",""primary"":""#6B8E23"",""primary-foreground"":""#FFFFFF"",""secondary"":""#DEB887"",""secondary-foreground"":""#000000"",""muted"":""#6ea96e"",""accent"":""#8FBC8F"",""destructive"":""#EF4444""}","[""#a4d146"",""#8ab72d"",""#6B8E23"",""#4c6519"",""#2d3c0f"",""#deb887"",""#d3a05f""]","{""background"":""#FFFAF0"",""foreground"":""#2F4F2F"",""card"":""#FFFFFF"",""card-foreground"":""#2F4F2F"",""popover"":""#FFFFFF"",""popover-foreground"":""#2F4F2F"",""primary"":""#6B8E23"",""primary-foreground"":""#FFFFFF"",""secondary"":""#DEB887"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8FBC8F"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D2C4A8"",""input"":""#D2C4A8"",""ring"":""#6B8E23""}"
112,Premium Luxury Minimal,"luxury, premium, minimal, elegant, sophisticated",#1A1A1A,#C9B037,#FFFFFF,#FAFAFA,#0A0A0A,#E5E5E5,Near Black + Gold accent + White space + Refined,"{ primary: '#1A1A1A', secondary: '#C9B037', cta: '#FFFFFF', background: '#FAFAFA', foreground: '#0A0A0A' }","box-shadow: 0 0 20px rgba(255,255,255,0.4); text-shadow: 0 0 10px rgba(255,255,255,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#242424', secondary: '#C9B037', cta: '#FFFFFF', border: '#27272A' }","{""background"":""#FAFAFA"",""foreground"":""#0A0A0A"",""primary"":""#1A1A1A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C9B037"",""secondary-foreground"":""#000000"",""muted"":""#565656"",""accent"":""#FFFFFF"",""destructive"":""#EF4444""}","[""#4d4d4d"",""#333333"",""#1A1A1A"",""#000000"",""#000000"",""#c9b037"",""#a18d2c""]","{""background"":""#FAFAFA"",""foreground"":""#0A0A0A"",""card"":""#FFFFFF"",""card-foreground"":""#0A0A0A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0A0A0A"",""primary"":""#1A1A1A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C9B037"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FFFFFF"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#1A1A1A""}"
113,Kids Baby Parenting App,"kids, children, baby, parenting, family, childcare, toddler, infant, playful, friendly",#F472B6,#34D399,#FB923C,#FFFBEB,#57534E,#FDE68A,Soft Pink + Mint Green + Warm Orange CTA for playful friendly childcare experience,"{ primary: '#F472B6', secondary: '#34D399', cta: '#FB923C', background: '#FFFBEB', foreground: '#57534E' }","box-shadow: 0 0 20px rgba(244,114,182,0.3); text-shadow: 0 0 10px rgba(52,211,153,0.4);","{ background: '#1F2937', text: '#F9FAFB', primary: '#F472B6', secondary: '#34D399', cta: '#FB923C', border: '#374151' }","{""background"":""#FFFBEB"",""foreground"":""#57534E"",""primary"":""#F472B6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#FEF3C7"",""accent"":""#FB923C"",""destructive"":""#EF4444""}","[""#fbcfe8"",""#f9a8d4"",""#F472B6"",""#ec4899"",""#db2777"",""#34d399"",""#10b981""]","{""background"":""#FFFBEB"",""foreground"":""#57534E"",""card"":""#FFFFFF"",""card-foreground"":""#57534E"",""popover"":""#FFFFFF"",""popover-foreground"":""#57534E"",""primary"":""#F472B6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#FEF3C7"",""muted-foreground"":""#78716C"",""accent"":""#FB923C"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FDE68A"",""input"":""#FDE68A"",""ring"":""#F472B6""}"
114,Manufacturing Industrial Platform,"manufacturing, industrial, factory, production, assembly, machinery, warehouse, logistics",#1E40AF,#EA580C,#16A34A,#F1F5F9,#1E293B,#CBD5E1,Industrial Blue + Safety Orange + Action Green CTA for production and logistics,"{ primary: '#1E40AF', secondary: '#EA580C', cta: '#16A34A', background: '#F1F5F9', foreground: '#1E293B' }","box-shadow: 0 0 15px rgba(30,64,175,0.3); text-shadow: none;","{ background: '#0F172A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#F97316', cta: '#22C55E', border: '#334155' }","{""background"":""#F1F5F9"",""foreground"":""#1E293B"",""primary"":""#1E40AF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#EA580C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E2E8F0"",""accent"":""#16A34A"",""destructive"":""#DC2626""}","[""#93c5fd"",""#60a5fa"",""#1E40AF"",""#1e3a8a"",""#172554"",""#ea580c"",""#c2410c""]","{""background"":""#F1F5F9"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#1E40AF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#EA580C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E2E8F0"",""muted-foreground"":""#64748B"",""accent"":""#16A34A"",""accent-foreground"":""#FFFFFF"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""border"":""#CBD5E1"",""input"":""#CBD5E1"",""ring"":""#1E40AF""}"
115,Crowdfunding Fundraising Platform,"crowdfunding, fundraising, kickstarter, donation, campaign, pledge, backer, community, funding",#0D9488,#22C55E,#F97316,#FAFAFA,#374151,#E5E7EB,Trust Teal + Progress Green + Urgency Orange CTA for crowdfunding campaigns,"{ primary: '#0D9488', secondary: '#22C55E', cta: '#F97316', background: '#FAFAFA', foreground: '#374151' }","box-shadow: 0 0 20px rgba(13,148,136,0.3); text-shadow: 0 0 10px rgba(34,197,94,0.4);","{ background: '#111827', text: '#F9FAFB', primary: '#14B8A6', secondary: '#34D399', cta: '#FB923C', border: '#1F2937' }","{""background"":""#FAFAFA"",""foreground"":""#374151"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#F3F4F6"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#5eead4"",""#2dd4bf"",""#0D9488"",""#0f766e"",""#115e59"",""#22c55e"",""#16a34a""]","{""background"":""#FAFAFA"",""foreground"":""#374151"",""card"":""#FFFFFF"",""card-foreground"":""#374151"",""popover"":""#FFFFFF"",""popover-foreground"":""#374151"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#F3F4F6"",""muted-foreground"":""#6B7280"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E7EB"",""input"":""#E5E7EB"",""ring"":""#0D9488""}"
116,Modern CSS Colors (OKLCH),"oklch, perceptual, uniform, color space, modern CSS, wide gamut, vibrant, accessible",oklch(70% 0.15 250),oklch(65% 0.18 330),oklch(75% 0.2 145),oklch(98% 0.01 250),oklch(25% 0.02 250),oklch(85% 0.02 250),OKLCH provides perceptually uniform lightness ideal for accessible color scales. Browser support 95%+ in 2026.,"{ primary: 'oklch(70% 0.15 250)', secondary: 'oklch(65% 0.18 330)', cta: 'oklch(75% 0.2 145)', background: 'oklch(98% 0.01 250)', foreground: 'oklch(25% 0.02 250)', note: '@supports (color: oklch(0% 0 0)) { /* use oklch */ }' }","box-shadow: 0 0 20px oklch(70% 0.15 250 / 0.4); text-shadow: 0 0 10px oklch(75% 0.2 145 / 0.6);","{ background: 'oklch(20% 0.02 250)', text: 'oklch(95% 0.01 250)', primary: 'oklch(70% 0.15 250)', secondary: 'oklch(65% 0.18 330)', cta: 'oklch(75% 0.2 145)', border: 'oklch(35% 0.03 250)' }","{""background"":""oklch(98% 0.01 250)"",""foreground"":""oklch(25% 0.02 250)"",""primary"":""oklch(70% 0.15 250)"",""primary-foreground"":""oklch(100% 0 0)"",""secondary"":""oklch(65% 0.18 330)"",""secondary-foreground"":""oklch(100% 0 0)"",""muted"":""oklch(90% 0.02 250)"",""accent"":""oklch(75% 0.2 145)"",""destructive"":""oklch(55% 0.25 30)""}","[""oklch(80% 0.12 250)"",""oklch(70% 0.15 250)"",""oklch(60% 0.18 250)"",""oklch(50% 0.2 250)"",""oklch(40% 0.18 250)"",""oklch(65% 0.18 330)"",""oklch(75% 0.2 145)""]","{""background"":""oklch(98% 0.01 250)"",""foreground"":""oklch(25% 0.02 250)"",""card"":""oklch(100% 0 0)"",""card-foreground"":""oklch(25% 0.02 250)"",""popover"":""oklch(100% 0 0)"",""popover-foreground"":""oklch(25% 0.02 250)"",""primary"":""oklch(70% 0.15 250)"",""primary-foreground"":""oklch(100% 0 0)"",""secondary"":""oklch(65% 0.18 330)"",""secondary-foreground"":""oklch(100% 0 0)"",""muted"":""oklch(95% 0.01 250)"",""muted-foreground"":""oklch(45% 0.02 250)"",""accent"":""oklch(75% 0.2 145)"",""accent-foreground"":""oklch(20% 0.02 145)"",""destructive"":""oklch(55% 0.25 30)"",""destructive-foreground"":""oklch(100% 0 0)"",""border"":""oklch(85% 0.02 250)"",""input"":""oklch(85% 0.02 250)"",""ring"":""oklch(70% 0.15 250)""}"
117,Dynamic Colors (color-mix),"color-mix, CSS, blend, dynamic palette, tint, shade, opacity, mixing, variable",color-mix(in oklch var(--brand) 100% white 0%),color-mix(in oklch var(--brand) 70% white 30%),color-mix(in oklch var(--brand) var(--accent) 50%),color-mix(in oklch var(--bg) white 95%),color-mix(in oklch var(--fg) black 80%),color-mix(in oklch var(--border) white 50%),color-mix() enables dynamic tints/shades without preprocessors. Use 'in oklch' for smooth blending.,"{ primary: 'color-mix(in oklch, var(--brand) 100%, white 0%)', secondary: 'color-mix(in oklch, var(--brand) 70%, white 30%)', cta: 'color-mix(in oklch, var(--brand), var(--accent) 50%)', background: 'color-mix(in oklch, var(--bg), white 95%)', foreground: 'color-mix(in oklch, var(--fg), black 80%)', fallback: '#3B82F6' }","box-shadow: 0 0 20px color-mix(in oklch, var(--brand), transparent 60%); text-shadow: 0 0 10px color-mix(in oklch, var(--accent), transparent 60%);","{ background: 'color-mix(in oklch, var(--bg), black 90%)', text: 'color-mix(in oklch, var(--fg), white 90%)', primary: 'var(--brand)', secondary: 'color-mix(in oklch, var(--brand), white 20%)', cta: 'var(--accent)', border: 'color-mix(in oklch, var(--border), white 10%)' }","{""background"":""color-mix(in oklch, var(--bg), white 95%)"",""foreground"":""color-mix(in oklch, var(--fg), black 80%)"",""primary"":""var(--brand)"",""primary-foreground"":""white"",""secondary"":""color-mix(in oklch, var(--brand), white 30%)"",""secondary-foreground"":""black"",""muted"":""color-mix(in oklch, var(--bg), var(--fg) 10%)"",""accent"":""var(--accent)"",""destructive"":""var(--destructive)""}","[""color-mix(in oklch, var(--brand), white 40%)"",""color-mix(in oklch, var(--brand), white 20%)"",""var(--brand)"",""color-mix(in oklch, var(--brand), black 20%)"",""color-mix(in oklch, var(--brand), black 40%)""]","{""background"":""color-mix(in oklch, var(--bg), white 95%)"",""foreground"":""color-mix(in oklch, var(--fg), black 80%)"",""card"":""white"",""card-foreground"":""var(--fg)"",""popover"":""white"",""popover-foreground"":""var(--fg)"",""primary"":""var(--brand)"",""primary-foreground"":""white"",""secondary"":""color-mix(in oklch, var(--brand), white 30%)"",""secondary-foreground"":""black"",""muted"":""color-mix(in oklch, var(--bg), var(--fg) 5%)"",""muted-foreground"":""color-mix(in oklch, var(--fg), var(--bg) 40%)"",""accent"":""var(--accent)"",""accent-foreground"":""black"",""destructive"":""var(--destructive)"",""destructive-foreground"":""white"",""border"":""color-mix(in oklch, var(--border), white 50%)"",""input"":""color-mix(in oklch, var(--border), white 50%)"",""ring"":""var(--brand)""}"
118,Wide Gamut Colors (Display P3),"display-p3, wide gamut, HDR, vivid colors, modern displays, Apple, creative, vibrant",color(display-p3 0.4 0.6 1),color(display-p3 0.9 0.3 0.5),color(display-p3 0.2 0.9 0.4),color(display-p3 0.98 0.98 0.98),color(display-p3 0.1 0.1 0.12),color(display-p3 0.85 0.85 0.87),Display P3 extends sRGB by 50% more colors. Use @supports or @media color-gamut for progressive enhancement.,"{ primary: 'color(display-p3 0.4 0.6 1)', secondary: 'color(display-p3 0.9 0.3 0.5)', cta: 'color(display-p3 0.2 0.9 0.4)', background: 'color(display-p3 0.98 0.98 0.98)', foreground: 'color(display-p3 0.1 0.1 0.12)', note: '@media (color-gamut: p3) { /* use display-p3 */ }' }","box-shadow: 0 0 25px color(display-p3 0.4 0.6 1 / 0.5); text-shadow: 0 0 15px color(display-p3 0.2 0.9 0.4 / 0.6);","{ background: 'color(display-p3 0.08 0.08 0.1)', text: 'color(display-p3 0.95 0.95 0.95)', primary: 'color(display-p3 0.45 0.65 1)', secondary: 'color(display-p3 0.92 0.35 0.55)', cta: 'color(display-p3 0.25 0.92 0.45)', border: 'color(display-p3 0.2 0.2 0.25)' }","{""background"":""color(display-p3 0.98 0.98 0.98)"",""foreground"":""color(display-p3 0.1 0.1 0.12)"",""primary"":""color(display-p3 0.4 0.6 1)"",""primary-foreground"":""color(display-p3 1 1 1)"",""secondary"":""color(display-p3 0.9 0.3 0.5)"",""secondary-foreground"":""color(display-p3 1 1 1)"",""muted"":""color(display-p3 0.92 0.92 0.94)"",""accent"":""color(display-p3 0.2 0.9 0.4)"",""destructive"":""color(display-p3 0.9 0.2 0.2)""}","[""color(display-p3 0.6 0.75 1)"",""color(display-p3 0.4 0.6 1)"",""color(display-p3 0.25 0.45 0.85)"",""color(display-p3 0.9 0.3 0.5)"",""color(display-p3 0.2 0.9 0.4)"",""color(display-p3 0.95 0.7 0.2)""]","{""background"":""color(display-p3 0.98 0.98 0.98)"",""foreground"":""color(display-p3 0.1 0.1 0.12)"",""card"":""color(display-p3 1 1 1)"",""card-foreground"":""color(display-p3 0.1 0.1 0.12)"",""popover"":""color(display-p3 1 1 1)"",""popover-foreground"":""color(display-p3 0.1 0.1 0.12)"",""primary"":""color(display-p3 0.4 0.6 1)"",""primary-foreground"":""color(display-p3 1 1 1)"",""secondary"":""color(display-p3 0.9 0.3 0.5)"",""secondary-foreground"":""color(display-p3 1 1 1)"",""muted"":""color(display-p3 0.95 0.95 0.96)"",""muted-foreground"":""color(display-p3 0.45 0.45 0.5)"",""accent"":""color(display-p3 0.2 0.9 0.4)"",""accent-foreground"":""color(display-p3 0.1 0.1 0.12)"",""destructive"":""color(display-p3 0.9 0.2 0.2)"",""destructive-foreground"":""color(display-p3 1 1 1)"",""border"":""color(display-p3 0.85 0.85 0.87)"",""input"":""color(display-p3 0.85 0.85 0.87)"",""ring"":""color(display-p3 0.4 0.6 1)""}"
119,AI Interface Colors (Confidence Semantic),"AI, confidence, uncertainty, semantic, status colors, machine learning, indicators, probability, trust",oklch(60% 0.15 145),oklch(65% 0.18 85),oklch(55% 0.2 30),oklch(95% 0.02 250),oklch(25% 0.02 250),oklch(85% 0.02 250),Use for AI output confidence visualization and probability indicators. High=green Medium=amber Low=red.","{ primary: 'oklch(60% 0.15 250)', secondary: 'oklch(70% 0.1 250)', cta: 'oklch(60% 0.15 145)', background: 'oklch(95% 0.02 250)', foreground: 'oklch(25% 0.02 250)', '--confidence-high': 'oklch(60% 0.15 145)', '--confidence-medium': 'oklch(65% 0.18 85)', '--confidence-low': 'oklch(55% 0.2 30)' }","box-shadow: 0 0 15px oklch(60% 0.15 145 / 0.4); text-shadow: 0 0 8px oklch(65% 0.18 85 / 0.5);","{ background: 'oklch(18% 0.02 250)', text: 'oklch(90% 0.02 250)', primary: 'oklch(65% 0.15 250)', secondary: 'oklch(75% 0.1 250)', cta: 'oklch(65% 0.15 145)', border: 'oklch(30% 0.03 250)' }","{""background"":""oklch(95% 0.02 250)"",""foreground"":""oklch(25% 0.02 250)"",""primary"":""oklch(60% 0.15 250)"",""primary-foreground"":""oklch(100% 0 0)"",""secondary"":""oklch(70% 0.1 250)"",""secondary-foreground"":""oklch(20% 0 0)"",""muted"":""oklch(92% 0.01 250)"",""accent"":""oklch(60% 0.15 145)"",""destructive"":""oklch(55% 0.2 30)"",""warning"":""oklch(65% 0.18 85)"",""success"":""oklch(60% 0.15 145)""}","[""oklch(60% 0.15 145)"",""oklch(62% 0.16 120)"",""oklch(65% 0.18 85)"",""oklch(60% 0.19 55)"",""oklch(55% 0.2 30)"",""oklch(60% 0.15 250)""]","{""background"":""oklch(95% 0.02 250)"",""foreground"":""oklch(25% 0.02 250)"",""card"":""oklch(100% 0 0)"",""card-foreground"":""oklch(25% 0.02 250)"",""popover"":""oklch(100% 0 0)"",""popover-foreground"":""oklch(25% 0.02 250)"",""primary"":""oklch(60% 0.15 250)"",""primary-foreground"":""oklch(100% 0 0)"",""secondary"":""oklch(70% 0.1 250)"",""secondary-foreground"":""oklch(20% 0 0)"",""muted"":""oklch(92% 0.01 250)"",""muted-foreground"":""oklch(50% 0.02 250)"",""accent"":""oklch(60% 0.15 145)"",""accent-foreground"":""oklch(100% 0 0)"",""destructive"":""oklch(55% 0.2 30)"",""destructive-foreground"":""oklch(100% 0 0)"",""warning"":""oklch(65% 0.18 85)"",""success"":""oklch(60% 0.15 145)"",""border"":""oklch(85% 0.02 250)"",""input"":""oklch(85% 0.02 250)"",""ring"":""oklch(60% 0.15 250)""}"
